MUESTRA,ACIDEZ,PH,AW,SOLUBILIDAD,CRA,CRAC,L,C,H,DE,HUMEDAD,FRUCTOSA,GLUCOSA,SACAROSA,ETEREO,FDT,FDI,FDS,PROTEINA,CENIZA
Pa-AC-1,0.2987471121,4.4,0.315,49.0807354117,10.9657915672,1.7279843444,62.3189,42.8767,77.4643,14.1249675963,8.1718281718,7.74643,1.4124967596,0.8171828172,1.8754034861,22.0010891628,20.1000049507,1.9010842121,16.03,6.8797868798
Pa-AC-1,0.2987471121,4.4,0.323,44.5064805583,10.8708,1.7592225307,62.522,43.0008,77.5659,14.124783639,8.0473175608,7.75659,1.4124783639,0.8047317561,1.8724995081,21.3743507791,19.7063523771,1.6679984019,16.156,7.0109963346
Pa-AC-1,0.3129662128,4.4,0.323,46.9886702445,10.2889597449,1.7206992451,62.4941,43.1676,77.6235,14.1526724866,7.9832072768,7.76235,1.4152672487,0.7983207277,1.8779342723,22.0010891628,20.1000049507,1.9010842121,16.056,6.9403258588
Pa-AC-1,0.2987471121,4.4,0.315,48.0807354117,10.9657915672,1.7279843444,62.3054,42.8736,77.596,14.1261124798,8.0718281718,7.7596,1.412611248,0.8071828172,1.8764034861,21.7435077907,19.7063523771,1.6679984019,16.03,6.9797868798
Pa-AC-1,0.2987471121,4.4,0.321,46.5064805583,10.8708,1.7592225307,62.6256,43.336,77.5275,14.1655616661,8.0973175608,7.75275,1.4165561666,0.8097317561,1.8734995081,21.9010891628,20.1000049507,1.9010842121,16.086,7.0009963346
Pa-AC-1,0.3129662128,4.4,0.323,47.9886702445,10.2889597449,1.7206992451,62.6357,43.2953,77.5604,14.1585696554,7.9832072768,7.75604,1.4158569655,0.7983207277,1.8769342723,21.8435077907,19.7063523771,1.6679984019,16.076,6.9903258588
Pa-AC-1,0.2987471121,4.4,0.311,45.0807354117,10.9657915672,1.7279843444,62.5169,43.2495,77.3277,14.1620888749,8.1218281718,7.73277,1.4162088875,0.8121828172,1.8754034861,21.7010891628,20.1000049507,1.9010842121,16.04,6.9097868798
Pa-AC-1,0.2987471121,4.4,0.317,46.5064805583,10.8708,1.7592225307,62.2841,43.065,77.7297,14.1572040009,8.1473175608,7.77297,1.4157204001,0.8147317561,1.8754995081,21.9910891628,19.7063523771,1.6679984019,16.126,6.9963345552
Pa-AC-1,0.3129662128,4.4,0.318,47.9886702445,10.2889597449,1.7206992451,62.6618,43.2792,77.2999,14.1530225487,8.0832072768,7.72999,1.4153022549,0.8083207277,1.8779342723,21.5743507791,19.7063523771,1.6679984019,16.096,6.9832585879
Pa-AC-2,0.3270684372,4.1,0.381,57.04,12.8603909055,1.7137767221,65.7603,48.8788,80.6295,14.761379986,7.3347107438,7.7596,1.412611248,0.8071828172,1.9764031462,20.3508334165,18.3316698273,2.0191635892,14.675,5.9817382031
Pa-AC-2,0.3270684372,4.1,0.38,61.4896988907,11.4643568299,1.9800558436,65.7089,48.8502,80.5162,14.760553582,7.2366229093,7.75275,1.4165561666,0.8097317561,1.9425843665,19.2711221945,17.055361596,2.2157605985,14.634,6.3137202639
Pa-AC-2,0.3270684372,4.1,0.378,59.36,12.7028753994,1.8487261146,65.7058,48.8821,80.5532,14.7658607709,7.1911759805,7.75604,1.4158569655,0.7983207277,1.9591995086,20.0508334165,18.3316698273,2.0191635892,14.753,6.2881135659
Pa-AC-2,0.3270684372,4.1,0.381,60.04,12.8603909055,1.7137767221,65.9723,48.9472,80.7044,14.7562338121,7.3047107438,7.73277,1.4162088875,0.8121828172,1.9640314625,19.9711221945,17.055361596,2.2157605985,14.675,6.0817382031
Pa-AC-2,0.3270684372,4.1,0.38,58.4896988907,12.4643568299,1.9800558436,65.5981,48.9204,80.4999,14.7798797549,7.2866229093,7.77297,1.4157204001,0.8147317561,1.9525843665,19.9350833417,18.3316698273,2.0191635892,14.634,6.2372026388
Pa-AC-2,0.3270684372,4.1,0.378,59.36,12.7028753994,1.8487261146,65.6817,48.9217,80.7679,14.7743854958,7.2591175981,7.72999,1.4153022549,0.8083207277,1.9591995086,19.7711221945,17.055361596,2.2157605985,14.753,6.1881135659
Pa-AC-2,0.3270684372,4.1,0.376,57.04,12.8603909055,1.7137767221,65.7214,48.5407,80.6841,14.7117336978,7.3147107438,8.06295,1.4761379986,0.7334710744,1.9664031462,20.1508334165,18.3316698273,2.0191635892,14.685,6.0817382031
Pa-AC-2,0.3270684372,4.1,0.376,60.4896988907,12.4643568299,1.9800558436,65.7074,49.0774,80.5875,14.7962802684,7.2066229093,8.05162,1.4760553582,0.7236622909,1.9525843665,20.3008334165,17.055361596,2.2157605985,14.614,6.2137202639
Pa-AC-2,0.3270684372,4.1,0.374,59.36,12.7028753994,1.8487261146,65.5293,49.2875,80.3842,14.8419744866,7.2911759805,8.05532,1.4765860771,0.7191175981,1.9591995086,19.9911221945,17.055361596,2.2157605985,14.753,6.1881135659
Pa-LIO-1,0.3414480261,5.6,0.294,57.811260904,13.6444,2.9488095238,69.246,29.9669,87.4312,14.275223903,7.1021875936,7.73277,1.4162088875,0.8121828172,1.3687252915,19.9058588881,17.4121166791,2.4937422089,16.468,5.7536709619
Pa-LIO-1,0.3556276239,5.6,0.299,58.4683063387,13.8461231015,3.0039416634,73.4968,49.0118,82.4305,14.275223903,7.1968942863,7.77297,1.4157204001,0.8147317561,1.3032781435,20.171591136,17.8778199241,2.2937712118,16.1755,5.773442166
Pa-LIO-1,0.3414480261,5.6,0.309,61.1987381703,12.9641434263,3.4779353822,73.3908,49.0563,82.4267,14.2885882982,7.1070757671,7.72999,1.4153022549,0.8083207277,1.3385146805,19.9585888806,17.4121166791,2.4937422089,16.1805,5.5729492799
Pa-LIO-1,0.3414480261,5.6,0.294,58.811260904,13.6444,3.0488095238,73.4598,49.0128,82.428,14.2774660486,7.1321875936,8.06295,1.4761379986,0.7334710744,1.3487252915,20.101591136,17.8778199241,2.2937712118,16.468,5.7536709619
Pa-LIO-1,0.3556276239,5.6,0.299,58.4683063387,13.8461231015,3.0039416634,73.7294,48.7224,82.6492,14.2143009098,7.1568942863,8.05162,1.4760553582,0.7236622909,1.3327814349,19.9958588881,17.4121166791,2.4937422089,16.1755,5.673442166
Pa-LIO-1,0.3414480261,5.6,0.309,60.1987381703,13.0641434263,3.0779353822,73.2637,49.1745,82.1361,14.3147730617,7.1670757671,8.05532,1.4765860771,0.7191175981,1.3285146805,19.971591136,17.8778199241,2.2937712118,16.1805,5.6729492799
Pa-LIO-1,0.3414480261,5.6,0.293,60.811260904,13.6444,3.0488095238,73.2585,49.1853,82.1766,14.3169598333,7.1021875936,8.07044,1.4756233812,0.7304710744,1.3487252915,19.9058588881,17.4121166791,2.4937422089,16.468,5.7536709619
Pa-LIO-1,0.3556276239,5.6,0.297,59.4683063387,13.8461231015,3.0039416634,71.6858,47.8956,82.5629,14.1967655473,7.1868942863,8.04999,1.4779879755,0.7286622909,1.3132781435,19.9458588881,17.8778199241,2.2937712118,16.1755,5.773442166
Pa-LIO-1,0.3414480261,5.6,0.308,58.1987381703,12.9641434263,3.1779353822,71.7331,47.881,82.5985,14.1914887879,7.1270757671,8.07679,1.4774385496,0.7259117598,1.3285146805,20.131591136,17.8778199241,2.2937712118,16.1805,5.6829492799
Pa-LIO-2,0.3271919497,5.3,0.314,65.8449304175,14.5275119617,3.5294117647,76.7795,52.9242,82.9576,14.7732723652,6.0019328823,8.06295,1.4761379986,0.7334710744,1.4275304716,17.7352045148,13.7441941767,3.9910103381,14.054,5.7953144266
Pa-LIO-2,0.3129592607,5.3,0.327,63.0379249361,14.2896414343,3.5951257862,76.8,52.7954,82.9696,14.750752983,6.1419578323,8.05162,1.4760553582,0.7236622909,1.4087939943,16.972875768,12.7818572356,4.1910185324,13.935,5.8954801319
Pa-LIO-2,0.2677208863,5.3,0.328,63.6689216076,14.4531312325,3.778,76.6251,52.5852,82.9055,14.722651969,6.0640389165,8.05532,1.4765860771,0.7191175981,1.4203429768,16.9452045148,13.7441941767,3.9910103381,13.997,5.6642121747
Pa-LIO-2,0.3271919497,5.3,0.31,64.8449304175,14.5275119617,3.5294117647,76.7522,51.9786,83.0817,14.6152961747,6.0193288233,8.07044,1.4756233812,0.7304710744,1.4275304716,16.912875768,12.7818572356,4.1910185324,13.954,5.7531442663
Pa-LIO-2,0.3129592607,5.3,0.323,63.0379249361,14.2896414343,3.6951257862,76.6032,52.1569,83.0314,14.6517186109,6.0419578323,8.04999,1.4779879755,0.7286622909,1.4087939943,17.0352045148,13.7441941767,3.9910103381,13.995,5.8954801319
Pa-LIO-2,0.2677208863,5.3,0.328,64.6689216076,14.4531312325,3.778,76.6196,52.0258,83.0462,14.6289234459,6.0840389165,8.07679,1.4774385496,0.7259117598,1.4203429768,16.992875768,12.7818572356,4.1910185324,14.027,5.7642121747
Pa-LIO-2,0.3271919497,5.3,0.31,64.8449304175,14.5275119617,3.6294117647,76.5243,52.0463,83.0034,14.636442386,6.0319328823,8.06841,1.4711733698,0.7314710744,1.4275304716,17.3520451481,13.7441941767,3.9910103381,13.954,5.7053144266
Pa-LIO-2,0.3129592607,5.3,0.324,63.0379249361,14.2896414343,3.5951257862,76.699,51.881,83.057,14.6010584751,6.1019578323,8.05875,1.4796280268,0.7206622909,1.4087939943,17.4352045148,12.7818572356,4.1910185324,13.995,5.7954801319
Pa-LIO-2,0.2677208863,5.3,0.328,65.6689216076,14.4531312325,3.778,76.242,51.8608,83.0459,14.617724946,6.0840389165,8.03842,1.4841974487,0.7291175981,1.4203429768,16.992875768,12.7818572356,4.1910185324,13.967,5.7142121747
